DATASET_TITLE,"Hospital Admissions: Summary Statistics, 2003/04",,,,,,FROM,Apr-2003,Apr-2003,Apr-2003,Apr-2003,Apr-2003,Apr-2003,Apr-2003,Apr-2003,Apr-2003
AREA_TYPE,Local Authority,,,,,,TO,Mar-2004,Mar-2004,Mar-2004,Mar-2004,Mar-2004,Mar-2004,Mar-2004,Mar-2004,Mar-2004
GEO_HIERARCHY,NeSS Geography Hierarchy,,,,,,HEADING,All Finished Admission Episodes,Coronary Heart Disease (CHD); Diagnosis,Cerebrovascular Disease (including Stroke); Diagnosis,Cancer (excluding non-melanoma skin cancer); Diagnosis,Falls (basic accidental falls); External cause,Coronary Artery Bypass Graft (CABG) and Percutaneous Transluminal Coronary Angioplasty (PTCA); Operation,Hip Replacement; Operation,Knee Replacement; Operation,Cataract; Operation
,,,,,,,MEASUREMENT_UNIT,Count,Count,Count,Count,Count,Count,Count,Count,Count
,,,,,,,STATISTICAL_UNIT,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes
GOR_CODE,GOR_NAME,CTY_CODE,CTY_NAME,LA_CODE,LA_NAME,AREA_METADATA,,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE
"A","North East",,,"00CH","Gateshead",,,47915,5727,1083,4231,1423,369,250,282,1500
"A","North East",,,"00CJ","Newcastle upon Tyne",,,69135,8020,1758,9169,1931,317,253,291,1844
"A","North East",,,"00CK","North Tyneside",,,59474,3879,806,7975,1526,250,217,308,1440
"A","North East",,,"00CL","South Tyneside",,,42207,3830,650,6158,1216,200,142,152,1626
"A","North East",,,"00CM","Sunderland",,,75122,6832,1052,8933,2361,372,294,228,2230
"A","North East",,,"00EB","Hartlepool",,,23786,1531,247,2490,521,52,98,149,744
"A","North East",,,"00EC","Middlesbrough",,,38430,3043,578,3581,1170,118,97,106,835
"A","North East",,,"00EE","Redcar and Cleveland",,,37356,2945,531,4202,1030,144,101,128,997
"A","North East",,,"00EF","Stockton-on-Tees",,,47995,2199,388,5479,847,189,163,195,1022
"A","North East",,,"00EH","Darlington",,,20814,1570,353,2446,800,120,118,122,516
"A","North East","20","Durham","20UB","Chester-le-Street",,,11983,918,156,1372,349,51,68,58,404
"A","North East","20","Durham","20UD","Derwentside",,,19853,1722,312,2632,546,94,95,97,639
"A","North East","20","Durham","20UE","Durham",,,18177,1336,308,2037,503,89,99,71,616
"A","North East","20","Durham","20UF","Easington",,,24375,2058,346,2716,605,88,105,114,889
