DATASET_TITLE,"Hospital Admissions: Summary Statistics, 2007/08",,,,,,FROM,Apr-2007,Apr-2007,Apr-2007,Apr-2007,Apr-2007,Apr-2007,Apr-2007,Apr-2007,Apr-2007
AREA_TYPE,Local Authority,,,,,,TO,Mar-2008,Mar-2008,Mar-2008,Mar-2008,Mar-2008,Mar-2008,Mar-2008,Mar-2008,Mar-2008
GEO_HIERARCHY,NeSS Geography Hierarchy,,,,,,HEADING,All Finished Admission Episodes,Coronary Heart Disease (CHD); Diagnosis,Cerebrovascular Disease (including Stroke); Diagnosis,Cancer (excluding non-melanoma skin cancer); Diagnosis,Falls (basic accidental falls); External cause,Coronary Artery Bypass Graft (CABG) and Percutaneous Transluminal Coronary Angioplasty (PTCA); Operation,Hip Replacement; Operation,Knee Replacement; Operation,Cataract; Operation
,,,,,,,MEASUREMENT_UNIT,Count,Count,Count,Count,Count,Count,Count,Count,Count
,,,,,,,STATISTICAL_UNIT,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes
GOR_CODE,GOR_NAME,CTY_CODE,CTY_NAME,LA_CODE,LA_NAME,AREA_METADATA,,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE
"A","North East",,,"00CH","Gateshead",,,47792,6026,1271,5248,1861,261,324,397,1393
"A","North East",,,"00CJ","Newcastle upon Tyne",,,74789,8729,1265,9954,2413,225,349,428,1599
"A","North East",,,"00CK","North Tyneside",,,63151,6483,785,8276,2167,289,348,359,1366
"A","North East",,,"00CL","South Tyneside",,,45666,5545,591,6683,1282,310,197,243,1598
"A","North East",,,"00CM","Sunderland",,,79682,9064,1170,9108,2362,620,431,473,2664
"A","North East",,,"00EB","Hartlepool",,,26636,2721,254,3276,572,130,110,184,699
"A","North East",,,"00EC","Middlesbrough",,,41428,3641,622,5204,1263,141,138,150,859
"A","North East",,,"00EE","Redcar and Cleveland",,,38356,3912,709,5224,1231,151,199,199,990
"A","North East",,,"00EF","Stockton-on-Tees",,,50420,4582,569,6274,1145,230,203,234,1469
"A","North East",,,"00EH","Darlington",,,25625,2229,345,2836,866,74,145,107,653
"A","North East",,,"00EJ","Durham",,,131260,14381,2281,16805,3801,600,666,650,4085
"A","North East",,,"00EM","Northumberland",,,90794,8750,1382,12054,3220,445,646,699,2438
"B","North West",,,"00BL","Bolton",,,64125,6987,930,4378,1899,414,357,328,1761
"B","North West",,,"00BM","Bury",,,50136,4832,791,4871,1393,295,234,206,1147
"B","North West",,,"00BN","Manchester",,,112932,9589,1502,8467,3555,472,362,422,1854
"B","North West",,,"00BP","Oldham",,,63086,4714,925,5205,1595,277,266,302,1067
"B","North West",,,"00BQ","Rochdale",,,59641,6546,858,5016,1490,251,253,285,1558
"B","North West",,,"00BR","Salford",,,67364,6882,1288,5225,2539,290,271,348,1354
"B","North West",,,"00BS","Stockport",,,73464,6853,1173,7436,2709,403,352,380,1651
"B","North West",,,"00BT","Tameside",,,53718,6016,799,4454,1619,307,204,274,1212
"B","North West",,,"00BU","Trafford",,,49445,4162,921,4964,1645,225,269,253,1017
"B","North West",,,"00BW","Wigan",,,81769,10005,1070,7977,2604,548,408,479,1878
"B","North West",,,"00BX","Knowsley",,,49317,4678,531,2743,1653,224,188,198,1004
"B","North West",,,"00BY","Liverpool",,,135015,12052,1539,8518,4700,616,489,579,2943
"B","North West",,,"00BZ","St. Helens",,,46748,4728,585,2569,1914,244,258,298,1182
"B","North West",,,"00CA","Sefton",,,86476,7390,954,6476,2687,405,449,463,2308
"B","North West",,,"00CB","Wirral",,,90556,8713,1408,7096,3443,379,626,615,1841
"B","North West",,,"00EQ","Cheshire East",,,79267,7401,1192,7508,3123,335,613,537,1973
"B","North West",,,"00ET","Halton",,,34253,3869,419,2135,1262,167,158,193,650
"B","North West",,,"00EU","Warrington",,,47458,5747,760,3285,1891,289,319,331,1101
"B","North West",,,"00EW","Cheshire West and Chester",,,83200,7947,1292,7098,2898,379,539,589,1876
"B","North West",,,"00EX","Blackburn with Darwen",,,38969,3836,461,2573,931,309,123,113,847
"B","North West",,,"00EY","Blackpool",,,50309,3587,307,5521,1081,250,125,119,1347
"B","North West","16","Cumbria","16UB","Allerdale",,,29232,3086,441,2858,835,125,190,171,735
"B","North West","16","Cumbria","16UC","Barrow-in-Furness",,,18684,2056,261,1229,552,70,134,135,706
"B","North West","16","Cumbria","16UD","Carlisle",,,29160,2867,389,2215,818,155,188,148,701
"B","North West","16","Cumbria","16UE","Copeland",,,21812,2122,304,2173,580,78,112,117,543
"B","North West","16","Cumbria","16UF","Eden",,,12695,1139,179,1044,306,76,110,70,378
"B","North West","16","Cumbria","16UG","South Lakeland",,,23459,2744,548,2701,815,99,229,177,960
"B","North West","30","Lancashire","30UD","Burnley",,,23968,2675,425,2570,772,116,105,104,560
"B","North West","30","Lancashire","30UE","Chorley",,,28933,4002,454,2584,595,232,176,174,621
"B","North West","30","Lancashire","30UF","Fylde",,,25041,1885,155,2898,531,193,122,98,795
"B","North West","30","Lancashire","30UG","Hyndburn",,,22004,2375,370,1731,591,172,96,65,554
"B","North West","30","Lancashire","30UH","Lancaster",,,32293,3961,535,3900,1061,146,223,198,995
"B","North West","30","Lancashire","30UJ","Pendle",,,24192,2476,383,2628,703,152,104,96,568
"B","North West","30","Lancashire","30UK","Preston",,,39156,4332,567,2339,960,267,163,202,880
"B","North West","30","Lancashire","30UL","Ribble Valley",,,13205,1377,200,1324,409,125,107,72,442
"B","North West","30","Lancashire","30UM","Rossendale",,,16557,1746,302,1594,484,100,89,78,379
"B","North West","30","Lancashire","30UN","South Ribble",,,29209,3523,420,2296,692,211,177,203,688
"B","North West","30","Lancashire","30UP","West Lancashire",,,29778,2559,373,2643,812,167,201,200,952
"B","North West","30","Lancashire","30UQ","Wyre",,,33846,2782,260,4364,669,236,137,124,1069
"D","Yorkshire and The Humber",,,"00CC","Barnsley",,,67482,4683,902,7415,1901,239,367,473,1779
"D","Yorkshire and The Humber",,,"00CE","Doncaster",,,75451,9121,1945,9142,2005,369,282,374,2566
"D","Yorkshire and The Humber",,,"00CF","Rotherham",,,74691,6411,1115,7983,2080,281,355,440,2235
"D","Yorkshire and The Humber",,,"00CG","Sheffield",,,130672,9862,1950,13813,3480,467,766,817,3606
"D","Yorkshire and The Humber",,,"00CX","Bradford",,,126508,10785,1609,12460,3150,635,421,465,2030
"D","Yorkshire and The Humber",,,"00CY","Calderdale",,,47708,4839,417,5549,1610,210,280,211,968
"D","Yorkshire and The Humber",,,"00CZ","Kirklees",,,90882,7009,833,8405,3034,487,513,507,2184
"D","Yorkshire and The Humber",,,"00DA","Leeds",,,173733,12141,1799,14329,5545,829,879,900,3908
"D","Yorkshire and The Humber",,,"00DB","Wakefield",,,83950,6620,992,10629,1891,467,410,412,1868
"D","Yorkshire and The Humber",,,"00FA","Kingston upon Hull, City of",,,69503,5065,552,7759,1991,360,227,289,1635
"D","Yorkshire and The Humber",,,"00FB","East Riding of Yorkshire",,,83657,7196,1073,11777,2283,597,553,628,2339
"D","Yorkshire and The Humber",,,"00FC","North East Lincolnshire",,,40893,4694,485,7381,903,226,189,195,976
"D","Yorkshire and The Humber",,,"00FD","North Lincolnshire",,,44173,5519,408,7533,852,320,227,201,1285
"D","Yorkshire and The Humber",,,"00FF","York",,,40363,3716,762,3683,1345,249,315,256,1094
"D","Yorkshire and The Humber","36","North Yorkshire","36UB","Craven",,,14315,1377,248,2167,330,76,119,98,309
"D","Yorkshire and The Humber","36","North Yorkshire","36UC","Hambleton",,,21237,2208,283,3259,631,104,163,148,618
"D","Yorkshire and The Humber","36","North Yorkshire","36UD","Harrogate",,,35968,2817,550,5429,1092,229,318,281,1027
"D","Yorkshire and The Humber","36","North Yorkshire","36UE","Richmondshire",,,10577,981,140,1548,356,39,89,75,248
"D","Yorkshire and The Humber","36","North Yorkshire","36UF","Ryedale",,,9793,778,195,1137,290,58,146,84,332
"D","Yorkshire and The Humber","36","North Yorkshire","36UG","Scarborough",,,24168,2276,470,3298,678,178,243,268,642
"D","Yorkshire and The Humber","36","North Yorkshire","36UH","Selby",,,17098,1484,291,1529,435,107,120,116,419
"E","East Midlands",,,"00FK","Derby",,,62641,5996,651,7795,1787,184,343,334,2139
