DATASET_TITLE,"Hospital Admissions: Summary Statistics, 2004/05",,,,,,FROM,Apr-2004,Apr-2004,Apr-2004,Apr-2004,Apr-2004,Apr-2004,Apr-2004,Apr-2004,Apr-2004
AREA_TYPE,Local Authority,,,,,,TO,Mar-2005,Mar-2005,Mar-2005,Mar-2005,Mar-2005,Mar-2005,Mar-2005,Mar-2005,Mar-2005
GEO_HIERARCHY,NeSS Geography Hierarchy,,,,,,HEADING,All Finished Admission Episodes,Coronary Heart Disease (CHD); Diagnosis,Cerebrovascular Disease (including Stroke); Diagnosis,Cancer (excluding non-melanoma skin cancer); Diagnosis,Falls (basic accidental falls); External cause,Coronary Artery Bypass Graft (CABG) and Percutaneous Transluminal Coronary Angioplasty (PTCA); Operation,Hip Replacement; Operation,Knee Replacement; Operation,Cataract; Operation
,,,,,,,MEASUREMENT_UNIT,Count,Count,Count,Count,Count,Count,Count,Count,Count
,,,,,,,STATISTICAL_UNIT,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes
GOR_CODE,GOR_NAME,CTY_CODE,CTY_NAME,LA_CODE,LA_NAME,AREA_METADATA,,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE
"B","North West","30","Lancashire","30UD","Burnley",,,22848,2758,417,1981,799,95,93,92,569
"B","North West","30","Lancashire","30UE","Chorley",,,23693,2359,241,1537,442,121,119,101,420
"B","North West","30","Lancashire","30UF","Fylde",,,17192,1446,179,2451,456,147,118,98,630
"B","North West","30","Lancashire","30UG","Hyndburn",,,21487,1633,230,1495,582,63,88,48,513
"B","North West","30","Lancashire","30UH","Lancaster",,,26302,3027,569,2128,980,135,214,201,1256
"B","North West","30","Lancashire","30UJ","Pendle",,,23190,2226,386,2262,742,78,94,84,580
"B","North West","30","Lancashire","30UK","Preston",,,30646,2747,257,1560,674,185,127,130,608
"B","North West","30","Lancashire","30UL","Ribble Valley",,,11930,982,167,1191,354,45,55,59,329
"B","North West","30","Lancashire","30UM","Rossendale",,,15509,1516,313,1316,456,45,57,47,402
"B","North West","30","Lancashire","30UN","South Ribble",,,23541,2213,217,1275,479,112,148,113,471
"B","North West","30","Lancashire","30UP","West Lancashire",,,20627,2154,424,1799,718,121,180,171,640
"B","North West","30","Lancashire","30UQ","Wyre",,,23980,2147,307,3097,601,169,168,149,1137
"D","Yorkshire and The Humber",,,"00CC","Barnsley",,,61047,4025,1039,6551,1550,339,288,310,1711
"D","Yorkshire and The Humber",,,"00CE","Doncaster",,,83576,8764,2027,9478,1897,395,268,297,1920
"D","Yorkshire and The Humber",,,"00CF","Rotherham",,,68356,6434,1106,7163,1859,320,283,319,2008
"D","Yorkshire and The Humber",,,"00CG","Sheffield",,,131179,8897,1904,13475,2925,505,619,663,3539
"D","Yorkshire and The Humber",,,"00CX","Bradford",,,121622,9505,1704,12448,2953,642,406,447,2897
"D","Yorkshire and The Humber",,,"00CY","Calderdale",,,43725,4422,389,4273,1252,227,215,143,994
"D","Yorkshire and The Humber",,,"00CZ","Kirklees",,,83154,6147,1057,8000,2385,470,332,330,2321
"D","Yorkshire and The Humber",,,"00DA","Leeds",,,154552,9248,2038,13057,5436,796,665,509,4254
"D","Yorkshire and The Humber",,,"00DB","Wakefield",,,74448,5067,1036,9230,1440,442,219,256,1617
"D","Yorkshire and The Humber",,,"00FA","Kingston upon Hull, City of",,,62555,5404,704,5264,1649,314,211,271,1537
"D","Yorkshire and The Humber",,,"00FB","East Riding of Yorkshire",,,73582,6351,915,8345,1805,585,498,483,2185
"D","Yorkshire and The Humber",,,"00FC","North East Lincolnshire",,,38875,4409,505,6695,926,175,177,168,1113
