DATASET_TITLE,"Hospital Admissions: Summary Statistics, 2006/07",,,,,,FROM,Apr-2006,Apr-2006,Apr-2006,Apr-2006,Apr-2006,Apr-2006,Apr-2006,Apr-2006,Apr-2006
AREA_TYPE,Local Authority,,,,,,TO,Mar-2007,Mar-2007,Mar-2007,Mar-2007,Mar-2007,Mar-2007,Mar-2007,Mar-2007,Mar-2007
GEO_HIERARCHY,NeSS Geography Hierarchy,,,,,,HEADING,All Finished Admission Episodes,Coronary Heart Disease (CHD); Diagnosis,Cerebrovascular Disease (including Stroke); Diagnosis,Cancer (excluding non-melanoma skin cancer); Diagnosis,Falls (basic accidental falls); External cause,Coronary Artery Bypass Graft (CABG) and Percutaneous Transluminal Coronary Angioplasty (PTCA); Operation,Hip Replacement; Operation,Knee Replacement; Operation,Cataract; Operation
,,,,,,,MEASUREMENT_UNIT,Count,Count,Count,Count,Count,Count,Count,Count,Count
,,,,,,,STATISTICAL_UNIT,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes
GOR_CODE,GOR_NAME,CTY_CODE,CTY_NAME,LA_CODE,LA_NAME,AREA_METADATA,,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE
"A","North East",,,"00CH","Gateshead",,,50905,6111,1082,5044,1904,315,223,291,1367
"A","North East",,,"00CJ","Newcastle upon Tyne",,,72291,8579,1371,9612,2202,213,305,432,1802
"A","North East",,,"00CK","North Tyneside",,,61736,5980,765,8121,2098,213,265,321,1470
"A","North East",,,"00CL","South Tyneside",,,45563,5218,556,6931,1289,287,195,216,1594
"A","North East",,,"00CM","Sunderland",,,78797,8957,1395,9473,2410,620,421,412,2800
"A","North East",,,"00EB","Hartlepool",,,26307,2470,290,3008,544,82,101,166,676
"A","North East",,,"00EC","Middlesbrough",,,43118,3676,673,5054,1290,149,117,130,771
"A","North East",,,"00EE","Redcar and Cleveland",,,39258,3570,651,4516,1207,151,182,163,865
"A","North East",,,"00EF","Stockton-on-Tees",,,49987,4085,621,6332,987,189,175,222,1320
"A","North East",,,"00EH","Darlington",,,22516,1891,337,2694,816,93,123,101,419
"A","North East","20","Durham","20UB","Chester-le-Street",,,13969,1288,192,2011,402,74,62,51,454
"A","North East","20","Durham","20UD","Derwentside",,,22060,2155,352,3587,680,98,101,108,667
"A","North East","20","Durham","20UE","Durham",,,20270,1839,297,2927,645,87,75,87,693
"A","North East","20","Durham","20UF","Easington",,,26822,3082,330,2923,621,137,120,169,866
"A","North East","20","Durham","20UG","Sedgefield",,,20491,2205,396,2268,560,89,132,125,482
"A","North East","20","Durham","20UH","Teesdale",,,4527,516,89,603,158,24,59,47,119
"A","North East","20","Durham","20UJ","Wear Valley",,,13715,1575,272,1330,431,68,90,83,257
"A","North East","35","Northumberland","35UB","Alnwick",,,8594,723,192,1198,312,50,75,62,268
"A","North East","35","Northumberland","35UC","Berwick-upon-Tweed",,,6025,600,131,1102,237,37,44,38,211
"A","North East","35","Northumberland","35UD","Blyth Valley",,,23292,2245,345,2788,766,102,87,127,503
"A","North East","35","Northumberland","35UE","Castle Morpeth",,,13704,1302,248,1681,468,65,102,95,465
"A","North East","35","Northumberland","35UF","Tynedale",,,16748,1405,219,2565,629,77,131,120,506
"A","North East","35","Northumberland","35UG","Wansbeck",,,19778,2258,362,2166,723,114,79,105,517
"B","North West",,,"00BL","Bolton",,,61377,6580,917,4390,1942,381,332,319,1560
"B","North West",,,"00BM","Bury",,,47947,4301,760,4155,1344,264,235,202,1004
"B","North West",,,"00BN","Manchester",,,110010,9225,1446,8344,3393,480,305,378,1723
"B","North West",,,"00BP","Oldham",,,61130,4538,991,4717,1585,205,278,288,1146
"B","North West",,,"00BQ","Rochdale",,,56429,6054,856,4942,1409,306,226,297,1326
"B","North West",,,"00BR","Salford",,,65337,6421,1362,5293,2328,261,245,264,1245
"B","North West",,,"00BS","Stockport",,,70992,6728,1104,6787,2522,412,350,343,1566
"B","North West",,,"00BT","Tameside",,,50496,5655,700,4472,1477,256,219,253,1201
"B","North West",,,"00BU","Trafford",,,52176,4003,829,4759,1657,230,265,266,932
"B","North West",,,"00BW","Wigan",,,82167,10107,1027,8460,2754,502,464,460,2279
"B","North West",,,"00BX","Knowsley",,,42496,4450,509,2603,1474,204,134,131,1000
"B","North West",,,"00BY","Liverpool",,,126179,12249,1536,8455,4631,600,406,430,2461
"B","North West",,,"00BZ","St. Helens",,,39538,4456,570,2443,1730,237,227,247,1269
"B","North West",,,"00CA","Sefton",,,75692,6937,1019,5333,2546,341,438,369,2140
"B","North West",,,"00CB","Wirral",,,85905,8324,1401,6770,3234,426,467,525,1760
"B","North West",,,"00ET","Halton",,,31017,3648,432,1862,1202,179,187,202,860
"B","North West",,,"00EU","Warrington",,,40527,5003,649,2916,1703,260,298,296,1314
"B","North West",,,"00EX","Blackburn with Darwen",,,41074,3521,426,2663,926,174,96,82,881
"B","North West",,,"00EY","Blackpool",,,46162,3550,320,5698,1082,237,119,112,1280
"B","North West","13","Cheshire","13UB","Chester",,,27267,2933,485,2829,1035,139,140,143,827
"B","North West","13","Cheshire","13UC","Congleton",,,19992,1944,308,2019,638,76,131,139,403
"B","North West","13","Cheshire","13UD","Crewe and Nantwich",,,31950,2940,352,2521,883,78,143,140,514
"B","North West","13","Cheshire","13UE","Ellesmere Port & Neston",,,21499,2264,350,2073,739,111,102,118,442
"B","North West","13","Cheshire","13UG","Macclesfield",,,28980,2890,561,3324,1336,141,242,158,734
"B","North West","13","Cheshire","13UH","Vale Royal",,,28105,2936,350,2202,903,97,174,157,619
"B","North West","16","Cumbria","16UB","Allerdale",,,27561,2908,390,3156,669,141,170,159,726
"B","North West","16","Cumbria","16UC","Barrow-in-Furness",,,18083,2211,260,1278,552,87,82,116,682
"B","North West","16","Cumbria","16UD","Carlisle",,,28079,2913,356,2213,760,154,148,128,731
"B","North West","16","Cumbria","16UE","Copeland",,,20213,2107,265,1981,529,102,138,122,535
"B","North West","16","Cumbria","16UF","Eden",,,11647,1071,241,861,264,80,83,53,386
"B","North West","16","Cumbria","16UG","South Lakeland",,,22660,2626,485,2437,797,86,197,158,898
"B","North West","30","Lancashire","30UD","Burnley",,,23411,2700,449,2313,796,101,117,98,600
"B","North West","30","Lancashire","30UE","Chorley",,,27677,3786,415,2247,630,139,180,174,680
"B","North West","30","Lancashire","30UF","Fylde",,,22159,1880,140,3105,505,124,88,90,708
"B","North West","30","Lancashire","30UG","Hyndburn",,,22192,2082,306,1493,582,103,74,46,485
"B","North West","30","Lancashire","30UH","Lancaster",,,28467,3522,512,3042,987,123,230,162,971
"B","North West","30","Lancashire","30UJ","Pendle",,,24179,2401,360,2624,722,108,106,83,558
"B","North West","30","Lancashire","30UK","Preston",,,36004,3825,443,2333,963,180,157,153,910
"B","North West","30","Lancashire","30UL","Ribble Valley",,,12555,1200,210,1268,375,70,86,63,356
"B","North West","30","Lancashire","30UM","Rossendale",,,16500,1704,290,1553,500,78,77,66,397
"B","North West","30","Lancashire","30UN","South Ribble",,,27453,3380,421,2119,652,150,165,122,719
"B","North West","30","Lancashire","30UP","West Lancashire",,,26775,2507,414,2129,815,129,199,164,740
