DATASET_TITLE,"Hospital Admissions: Summary Statistics, 2002/03",,,,,,FROM,Apr-2002,Apr-2002,Apr-2002,Apr-2002,Apr-2002,Apr-2002,Apr-2002,Apr-2002,Apr-2002
AREA_TYPE,Local Authority,,,,,,TO,Mar-2003,Mar-2003,Mar-2003,Mar-2003,Mar-2003,Mar-2003,Mar-2003,Mar-2003,Mar-2003
GEO_HIERARCHY,NeSS Geography Hierarchy,,,,,,HEADING,All Finished Admission Episodes,Coronary Heart Disease (CHD); Diagnosis,Cerebrovascular Disease (including Stroke); Diagnosis,Cancer (excluding non-melanoma skin cancer); Diagnosis,Falls (basic accidental falls); External cause,Coronary Artery Bypass Graft (CABG) and Percutaneous Transluminal Coronary Angioplasty (PTCA); Operation,Hip Replacement; Operation,Knee Replacement; Operation,Cataract; Operation
,,,,,,,MEASUREMENT_UNIT,Count,Count,Count,Count,Count,Count,Count,Count,Count
,,,,,,,STATISTICAL_UNIT,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes
GOR_CODE,GOR_NAME,CTY_CODE,CTY_NAME,LA_CODE,LA_NAME,AREA_METADATA,,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE
"A","North East",,,"00CH","Gateshead",,,48303,5547,1023,4462,1316,252,234,223,1370
"A","North East",,,"00CJ","Newcastle upon Tyne",,,68305,7844,1865,8452,1831,288,194,230,1719
"A","North East",,,"00CK","North Tyneside",,,56380,3846,827,7048,1441,223,210,191,1463
"A","North East",,,"00CL","South Tyneside",,,40621,3420,536,5164,1067,160,143,204,1362
"A","North East",,,"00CM","Sunderland",,,70809,6104,1242,7929,2150,347,313,318,2372
"A","North East",,,"00EB","Hartlepool",,,23816,1397,231,2281,623,51,102,133,729
"A","North East",,,"00EC","Middlesbrough",,,37572,2593,535,3905,1043,124,114,128,673
"A","North East",,,"00EE","Redcar and Cleveland",,,35187,2602,497,3629,976,129,151,146,772
"A","North East",,,"00EF","Stockton-on-Tees",,,45336,2174,463,4024,722,170,170,159,969
"A","North East",,,"00EH","Darlington",,,20254,1201,279,2336,731,86,110,96,597
"A","North East","20","Durham","20UB","Chester-le-Street",,,11948,905,171,1690,351,41,65,33,361
"A","North East","20","Durham","20UD","Derwentside",,,19310,1725,378,3035,545,92,98,68,608
"A","North East","20","Durham","20UE","Durham",,,17345,1195,260,2330,504,63,77,42,595
"A","North East","20","Durham","20UF","Easington",,,24402,1947,330,2640,677,83,111,109,801
"A","North East","20","Durham","20UG","Sedgefield",,,18845,1289,356,2435,523,84,100,81,483
"A","North East","20","Durham","20UH","Teesdale",,,5137,366,109,888,165,25,50,28,169
"A","North East","20","Durham","20UJ","Wear Valley",,,12672,971,291,1674,417,36,76,81,336
"A","North East","35","Northumberland","35UB","Alnwick",,,7814,473,183,1005,240,39,44,38,236
"A","North East","35","Northumberland","35UC","Berwick-upon-Tweed",,,6061,360,161,745,214,21,37,30,131
"A","North East","35","Northumberland","35UD","Blyth Valley",,,21083,1217,325,2454,521,77,80,73,514
"A","North East","35","Northumberland","35UE","Castle Morpeth",,,12398,881,249,2013,298,48,63,50,367
"A","North East","35","Northumberland","35UF","Tynedale",,,14308,634,198,1830,410,70,86,76,385
"A","North East","35","Northumberland","35UG","Wansbeck",,,17099,1097,286,2050,392,59,65,87,481
"B","North West",,,"00BL","Bolton",,,50849,5792,912,4455,1545,277,235,225,1250
"B","North West",,,"00BM","Bury",,,39940,3920,668,3451,1123,193,145,133,917
"B","North West",,,"00BN","Manchester",,,91109,6752,1584,8658,2089,442,254,228,1867
"B","North West",,,"00BP","Oldham",,,55884,4938,1221,4576,1431,225,169,167,1100
"B","North West",,,"00BQ","Rochdale",,,48859,4370,842,4488,1078,258,156,178,1223
"B","North West",,,"00BR","Salford",,,55761,4385,1189,4523,2026,161,213,193,1266
"B","North West",,,"00BS","Stockport",,,60759,5874,1383,5796,1688,249,277,319,2299
"B","North West",,,"00BT","Tameside",,,45235,3270,587,3884,215,215,217,223,1119
"B","North West",,,"00BU","Trafford",,,45146,2926,843,4825,1077,153,186,167,1032
"B","North West",,,"00BW","Wigan",,,72508,7930,1341,8041,1648,319,288,241,1822
"B","North West",,,"00BX","Knowsley",,,37344,4068,540,3079,1097,166,135,119,804
"B","North West",,,"00BY","Liverpool",,,100349,9404,1747,6838,4074,533,350,309,2167
"B","North West",,,"00BZ","St. Helens",,,41093,4550,665,4405,1190,177,171,161,1289
"B","North West",,,"00CA","Sefton",,,61463,5710,1086,5609,1999,270,349,279,1843
"B","North West",,,"00CB","Wirral",,,71349,4497,1204,5204,2283,308,301,260,1514
"B","North West",,,"00ET","Halton",,,30659,3786,401,2095,911,124,104,102,713
"B","North West",,,"00EU","Warrington",,,42498,4481,619,2608,1283,147,199,157,1182
"B","North West",,,"00EX","Blackburn with Darwen",,,38683,1832,590,2169,968,91,132,103,846
"B","North West",,,"00EY","Blackpool",,,40784,3075,554,3725,936,187,144,114,1231
"B","North West","13","Cheshire","13UB","Chester",,,22990,2547,548,2863,513,119,100,92,624
