DATASET_TITLE,"Hospital Admissions: Summary Statistics, 2005/06",,,,,,FROM,Apr-2005,Apr-2005,Apr-2005,Apr-2005,Apr-2005,Apr-2005,Apr-2005,Apr-2005,Apr-2005
AREA_TYPE,Local Authority,,,,,,TO,Mar-2006,Mar-2006,Mar-2006,Mar-2006,Mar-2006,Mar-2006,Mar-2006,Mar-2006,Mar-2006
GEO_HIERARCHY,NeSS Geography Hierarchy,,,,,,HEADING,All Finished Admission Episodes,Coronary Heart Disease (CHD); Diagnosis,Cerebrovascular Disease (including Stroke); Diagnosis,Cancer (excluding non-melanoma skin cancer); Diagnosis,Falls (basic accidental falls); External cause,Coronary Artery Bypass Graft (CABG) and Percutaneous Transluminal Coronary Angioplasty (PTCA); Operation,Hip Replacement; Operation,Knee Replacement; Operation,Cataract; Operation
,,,,,,,MEASUREMENT_UNIT,Count,Count,Count,Count,Count,Count,Count,Count,Count
,,,,,,,STATISTICAL_UNIT,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes,Admission Episodes
GOR_CODE,GOR_NAME,CTY_CODE,CTY_NAME,LA_CODE,LA_NAME,AREA_METADATA,,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE
"A","North East",,,"00CH","Gateshead",,,49186,5927,979,5314,1615,315,228,274,1394
"A","North East",,,"00CJ","Newcastle upon Tyne",,,72947,7905,1500,9575,2098,203,251,301,1700
"A","North East",,,"00CK","North Tyneside",,,61626,5608,700,7813,1952,206,253,280,1437
"A","North East",,,"00CL","South Tyneside",,,43442,4825,512,6352,1254,215,172,174,1556
"A","North East",,,"00CM","Sunderland",,,77800,8439,1195,9364,2207,427,341,380,2799
"A","North East",,,"00EB","Hartlepool",,,25391,2096,282,2805,583,70,96,173,574
"A","North East",,,"00EC","Middlesbrough",,,41228,3462,674,5067,1206,147,101,100,724
"A","North East",,,"00EE","Redcar and Cleveland",,,36989,3296,644,4741,1147,166,131,113,926
"A","North East",,,"00EF","Stockton-on-Tees",,,47860,3310,613,6152,957,220,182,187,1392
"A","North East",,,"00EH","Darlington",,,22835,2103,291,2668,804,106,115,140,656
"A","North East","20","Durham","20UB","Chester-le-Street",,,13178,1116,168,1572,347,75,66,46,392
